"name","lon","lat"
"Universität Hohenheim",9.21147017690708,48.7132600139792
"Dekanat der Fakultät für Betriebswirtschaftslehre",8.46577267209648,49.4826552076211
"Fakultät für BWL, Allgemeine BWL",8.46568478158641,49.4825655496083
NA,8.46557715490334,49.4824518732947
"Studienbüro 1-3",8.46721117316641,49.4824518282512
"Historisches Institut",8.46675008667269,49.4825188157421
"Institut für Marktorientierte Unternehmensführung",8.46527982086331,49.482157353248
"Institut für Theoretische Astrophysik",8.6945007559996,49.4141592932894
"Institut für Theoretische Physik",8.69673500050427,49.4148493421111
"Institut für Theoretische Physik",8.698443383671,49.4150375579049
"Studentenwerk Mannheim",8.46656705503625,49.4822630576114
"Studierendenhaus",8.4675912065466,49.4823534864641
"Fakultät für BWL, Finanzierung, Bankenbetriebslehre",8.46543926917504,49.4822892220782
